"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"BATTERY-9V";"BATTCON_9V";"BT2";"Battery - Single Cell";"";
"1";"";"BC808-NPN-SOT23-BEC";"SOT23-BEC";"T1";"NPN Transistror";"";
"4";"";"FE06-1";"FE06";"SV1, SV2, SV3, SV4";"FEMALE HEADER";"";
"24";"";"LED1206";"LED-1206";"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24, D25, D26";"LED (Generic)";"";
"8";"";"LED5MM";"LED5MM";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8";"LED";"";
"16";"";"PINHD-1X1";"1X01";"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11, JP12, JP13, JP14, JP15, JP16";"Pin header 1x1 for 0.1" spacing";"";
"4";"";"ULN2803SOICW";"SO18L";"ULN1, ULN2, ULN3, ULN4";"Darlington Driver(IC-07959, low stock)";"";
"4";"0.1uF";"C-EUC3216";"C3216";"C3, C6, C8, C9";"CAPACITOR, European symbol";"";
"2";"1.0uF";"C-EUC3216";"C3216";"C4, C11";"CAPACITOR, European symbol";"";
"10";"100, 1%";"R-EU_R3216";"R3216";"R47, R61, R99, R100, R101, R102, R111, R112, R113, R114";"RESISTOR, European symbol";"";
"4";"100K trimpot";"TRIMPOTTC33X";"TC33X";"TM1, TM2, TM5, TM6";"SMT trimmer potentiometer part number TC33X";"";
"2";"100K, 1%";"R-EU_R3216";"R3216";"R48, R49";"RESISTOR, European symbol";"";
"90";"10K, 1%";"R-EU_R3216";"R3216";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R42, R43, R45, R46, R52, R53, R58, R59, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R103, R104, R105, R106, R107, R108, R109, R110";"RESISTOR, European symbol";"";
"1";"10k trimpot";"TRIMPOTTC33X";"TC33X";"TM4";"SMT trimmer potentiometer part number TC33X";"";
"4";"10uF";"C-EUC3216";"C3216";"C1, C2, C5, C7";"CAPACITOR, European symbol";"";
"3";"1K, 1%";"R-EU_R3216";"R3216";"R41, R44, R55";"RESISTOR, European symbol";"";
"1";"1M trimpot";"TRIMPOTTC33X";"TC33X";"TM3";"SMT trimmer potentiometer part number TC33X";"";
"1";"2.2K, 1%";"R-EU_R3216";"R3216";"R60";"RESISTOR, European symbol";"";
"1";"22K, 1%";"R-EU_R3216";"R3216";"R62";"RESISTOR, European symbol";"";
"4";"2K, 1%";"R-EU_R3216";"R3216";"R39, R40, R54, R57";"RESISTOR, European symbol";"";
"1";"3.3K, 1%";"R-EU_R3216";"R3216";"R56";"RESISTOR, European symbol";"";
"2";"4001N";"4001N";"DIL14";"IC1, IC3";"Quad 2-input NOR";"";
"2";"40V, 120 mA";"DIODE-SCHOTTKY-ZLLS500";"SOT23-3";"D13, D14";"Schottky diode";"";
"1";"510K, 1%";"R-EU_R3216";"R3216";"R51";"RESISTOR, European symbol";"";
"1";"51K, 1%";"R-EU_R3216";"R3216";"R50";"RESISTOR, European symbol";"";
"2";"FDS5680";"FDS5680";"SO-8";"Q1, Q2";"60V N-Channel PowerTrench TM MOSFET";"";
"1";"LM293D";"LM293D";"8-SOIC";"U2";"IC COMPARATOR DIFF DUAL 8SOIC";"";
"1";"LMV324";"LMV324";"SO014";"IC2";"Jellybean quad op-amp";"";
"2";"MIC9.7MM";"MIC9.7MM";"MIC-9.7MM";"MIC1, MIC2";"Omni-directional electret microphone. 9.7mm standard diameter.";"";
"2";"MOTOR";"MOTOR";"GEARMOTOR";"U$1, U$2";"";"";
"1";"NCP1117_5V";"NCP1117ST33T3G";"SOT-223";"U1";"IC REG LINEAR 3.3V 1A SOT223";"";
"4";"V1060_21";"V1060_21";"TO-5_V10";"LDR_A, LDR_B, LDR_C, LDR_D";"Sensor Street Light control";"";
