"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R17,R18,R13,R12";"R3216";4;"5K, 1%";;;
2;"D16,D10,D21,D18,D3,D25,D4,D22,D2,D26,D20,D11,D8,D17,D23,D19,D9,D12,D15,D5,D7,D24,D1,D6";"LED-1206";24;"LED1206";;;
3;"SV1,SV4,SV10,SV12,SV2,SV13,SV7,SV3,SV9,SV14,SV8,SV5,SV15,SV11,SV6";"FE06";15;"FE06-1";;;
4;"IC9,IC8";"SOP8";2;"BD623F";;;
5;"R15,R16";"R3216";2;"20K, 1%";;;
6;"C2,C1,C4,C3,C6,C5";"C3216";6;"10uF";;;
7;"R10,R14,R2,R5,R4,R6,R11,R1,R7,R3";"3362P-1-103LF";10;"3362P-1-103LF";;;
8;"@HOLE4,@HOLE0,@HOLE1,@HOLE3,@HOLE2,@HOLE5";"";6;"";;;
9;"R8,R9";"R3216";2;"30k";;;
10;"U$6,U$3,U$19,U$9,U$11,U$20,U$5,U$10";"EXBA";8;"10K";;;
11;"IC2,IC5,IC6,IC4,IC7";"SO16";5;"ULN2004AD";;;
12;"JP1,JP8,JP2";"1X02";3;"PINHD-1X2";;;
13;"PH4,PH1,PH7,PH2,PH3,PH8,PH5,PH6";"TO-5_V10";8;"?1060V";;;
14;"IC10";"SOT223";1;"REG1117";;;
15;"U$2,U$1";"GEARMOTOR";2;"MOTOR";;;
16;"IC1,IC3";"DIL14";2;"4001N";;;
17;"U$7";"SLIDE_SWITCH";1;"SLIDE_SWITCH";;;
18;"IC12,IC11";"SO14";2;"LM2901D";;;
19;"LED_F0,LED_A0,LED_H0,LED_E0,LED_B0,LED_C0,LED_D0,LED_G0";"LED5MM";8;"LED5MM";;;
20;"D13";"SMADIODE";1;"DIODESMA";;;
21;"U$4";"EXBA";1;"330";;;
